sample,term,estimate,se_cr1,p_cr1,se_cr2,df_satt,p_cr2,p_wildboot,n_clusters,n_obs
full (unbalanced),wmean_corruption_govt,-0.2237568333102709,0.15279973445978406,0.15071633009402807,0.13191413558644552,14.169566032362841,0.1116920197030885,0.09,42,142
full (unbalanced),wmean_govt_perf_economy,0.3422178056291955,0.09986501926718536,0.0014015968071438558,0.08556140307714896,17.57737669772682,8.755173913757803e-4,0.001,42,142
balanced,wmean_corruption_govt,-0.20408900688845988,0.15349962316563978,0.1936809668906236,0.1360921616652506,12.999273089344017,0.15759825759734403,0.127,31,123
balanced,wmean_govt_perf_economy,0.3602506850387942,0.10988259091971087,0.002643081159087266,0.09716635918548075,14.731937370125506,0.002164906395907729,0.001,31,123
