region,round_id,trust_enforcement_index,se
Central Africa,6,1.296094842005228,0.04712453525079172
East Africa,6,1.647072751188473,0.108336896264784
North Africa,6,1.610307304217457,0.08835871490787471
Southern Africa,6,1.7538099226479742,0.06921153640737646
West Africa,6,1.4551838103352934,0.11647550474748448
Central Africa,7,1.2253189865406577,0.08326447780975238
East Africa,7,1.6193123322539886,0.16629527179158737
North Africa,7,1.6635163230425951,0.05993802664499316
Southern Africa,7,1.7457587741529197,0.08141486940695133
West Africa,7,1.578242925824718,0.09249102435199197
Central Africa,8,1.1096401306947543,0.12967607816103086
East Africa,8,1.7349484516082825,0.20520223315183278
North Africa,8,1.6222515013381837,0.20786594336479636
Southern Africa,8,1.5363855798756492,0.09218853608546963
West Africa,8,1.4512112607032885,0.09081831215366351
Central Africa,9,1.125001341292035,0.07655916992509387
East Africa,9,1.573144246410097,0.16002514900916845
North Africa,9,1.5699251784536834,0.09444552393087965
Southern Africa,9,1.4275016116319925,0.0940885591630012
West Africa,9,1.4313341337572878,0.11327698866950708
