term,estimate,std_error,statistic,p_value
corruption_govt,-0.20400315487330342,0.011600470538176444,-17.585765525798408,1.0487909352100474e-20
govt_perf_economy,0.240261627759254,0.011021949628281518,21.798469042424237,3.628825165727036e-24
age,0.0014786299235477812,3.3180624026186946e-4,4.456305349714975,6.319287365920386e-5
education_level,-0.027489170347714073,0.003908042128377825,-7.034000516039588,1.4756055481532431e-8
lived_poverty,-0.05699225997752563,0.006747603301214383,-8.446296771368969,1.629254790578024e-10
urban_ruralUrban,-0.14841542052453893,0.010524009262297887,-14.102555102857526,2.5331279492991436e-17
genderMale,-0.011270207345925537,0.012470816130636726,-0.903726526625496,0.37141992384912204
